designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,bp_g,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 604931472035863296,604931472035863296,133.15737113279394,11.945018305206142,4.409483192563326,-0.3308295719042398,-11.881511846771938,1.1038857,20.870317,1.1394691,0.17497444,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604931476329520000,604931476329520000,133.15421463913913,11.940889399120355,2.398236601460023,-13.837437181894963,-4.650714230734862,0.99343187,14.510579,1.3345909,0.6000509,22.317848,NOT_AVAILABLE,0,true,true,false,false,false,true,true,4614.311,4.5576,0.4983,416.0883,0.1058,0.0811,0.0422
Gaia DR3 604931476329772416,604931476329772416,133.15438408654953,11.937102319144374,,,,,21.095758,1.0584202,-0.3420105,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604931506393086848,604931506393086848,133.23315863045792,11.882838476979654,0.9136589937151395,-7.5997049458726025,0.17128646600866618,0.979427,17.986189,1.7246876,0.8416767,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4312.6685,4.6337,0.004,1156.7495,0.5211,0.3815,0.204
Gaia DR3 604931575115170944,604931575115170944,133.22356760810413,11.892961863699467,,,,,20.925962,2.3793545,1.4173183,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604931579408729856,604931579408729856,133.22403721106056,11.892046856533788,0.5373856917204087,-7.112574994506218,-9.247248848191173,0.96484524,19.078398,1.6762619,0.7850456,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604931609472304768,604931609472304768,133.2456635739798,11.894312320558674,0.6360807337498263,-3.2799594715212588,-4.182124143880666,1.0257946,18.981567,1.7439213,0.91209984,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3909.675,5.084,-1.512,632.4731,0.0124,0.009,0.0048
Gaia DR3 604931678191784320,604931678191784320,133.27800497401256,11.909720113283699,0.4400818984320822,-3.966648648401386,2.9466992971755035,0.99893975,18.768755,1.5706921,0.76192284,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4303.2344,4.5476,0.0565,2302.9128,0.0171,0.0127,0.0068
Gaia DR3 604931682487938944,604931682487938944,133.27520362278796,11.916643703387061,0.5090403946856461,-0.19504851578856788,-0.9410208428101747,1.0398512,20.02803,1.2528877,0.6678047,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604931746911261696,604931746911261696,133.2665462389616,11.912565591804313,2.9953546716047694,4.264829864232273,-13.02089953356505,1.0059222,18.327976,2.5736446,1.4156208,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3367.93,4.9657,-0.3636,311.4136,0.4472,0.2905,0.1853
Gaia DR3 604931746911264896,604931746911264896,133.26737283292465,11.92472917922058,0.10598567743959093,1.3040443406236406,-3.834950522943295,0.9932,17.387814,0.85736656,0.353611,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5442.702,4.6382,-0.7691,2025.7363,0.0105,0.0087,0.0047
Gaia DR3 604931781274995456,604931781274995456,133.2152586724361,11.90103733682764,0.7260233149172932,-3.135336066064167,-5.34984758533755,0.9815089,15.707344,0.89383507,0.36179924,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5499.8667,4.5906,-0.381,1049.571,0.0679,0.0563,0.0302
Gaia DR3 604931815630738688,604931815630738688,133.2287541285762,11.91388479607241,1.2094535858384283,-11.42611078656672,-2.598842054523542,0.97673523,19.110207,2.2059155,1.1388283,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604931815630738944,604931815630738944,133.23691495880507,11.91391212707851,0.886564671004947,4.733085670603066,-3.155051320163795,0.95543665,18.871284,2.0278816,1.0236988,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3606.8845,4.925,-0.7037,614.0197,0.2591,0.1797,0.1006
Gaia DR3 604931815630859392,604931815630859392,133.22193885996364,11.908862240836509,-1.0235142285827554,-0.5751561835622165,-4.499971615762006,1.0641801,19.988523,1.5010071,0.6730709,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604931819926896384,604931819926896384,133.22989274429165,11.916880738740497,1.1894204422804926,-10.71983724316227,-2.9246645441947248,0.99397707,16.071657,1.2615585,0.55991364,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4758.0703,4.6056,0.2649,840.301,0.1601,0.1245,0.0651
Gaia DR3 604931888646374272,604931888646374272,133.2141661396387,11.922245976162518,1.1226212269969675,24.514664019692113,-8.527373833451195,0.9834275,14.614409,0.8829813,0.3555689,-22.064678,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5633.134,4.5072,-0.4938,692.3962,0.157,0.1308,0.0706
